task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,1,"(100, 1000)",5,5,0.4576271186440678,0.5084745762711864
morph-gen,True,1,"(1000,)",1,50,0.8545454545454545,0.8909090909090909
morph-gen,True,1,"(1000,)",2,38,0.8545454545454545,0.8909090909090909
morph-gen,True,1,"(1000,)",3,21,0.8545454545454545,0.8909090909090909
morph-gen,True,1,"(1000,)",4,1,0.8545454545454545,0.8909090909090909
morph-disc,False,5,"(0, 10)",4,6,0.950920245398773,1.0
morph-disc,False,5,"(0, 10)",5,26,0.950920245398773,1.0
morph-disc,False,5,"(0, 10)",6,40,0.950920245398773,1.0
morph-disc,False,5,"(0, 10)",7,49,0.950920245398773,1.0
morph-disc,False,5,"(0, 10)",8,37,0.950920245398773,1.0
morph-disc,False,5,"(0, 10)",9,5,0.950920245398773,1.0
morph-disc,False,5,"(10, 100)",2,1,0.95,1.0
morph-disc,False,5,"(10, 100)",3,4,0.95,1.0
morph-disc,False,5,"(10, 100)",4,25,0.95,1.0
morph-disc,False,5,"(10, 100)",5,19,0.95,1.0
morph-disc,False,5,"(10, 100)",6,10,0.95,1.0
morph-disc,False,5,"(10, 100)",7,1,0.95,1.0
morph-disc,False,5,"(100, 1000)",2,11,0.9322033898305084,1.0
morph-disc,False,5,"(100, 1000)",3,25,0.9322033898305084,1.0
morph-disc,False,5,"(100, 1000)",4,18,0.9322033898305084,1.0
morph-disc,False,5,"(100, 1000)",5,5,0.9322033898305084,1.0
morph-disc,False,5,"(1000,)",1,50,0.990909090909091,1.0
morph-disc,False,5,"(1000,)",2,38,0.990909090909091,1.0
morph-disc,False,5,"(1000,)",3,21,0.990909090909091,1.0
morph-disc,False,5,"(1000,)",4,1,0.990909090909091,1.0
morph-disc,False,3,"(0, 10)",4,6,0.9754601226993865,1.0
morph-disc,False,3,"(0, 10)",5,26,0.9754601226993865,1.0
morph-disc,False,3,"(0, 10)",6,40,0.9754601226993865,1.0
morph-disc,False,3,"(0, 10)",7,49,0.9754601226993865,1.0
morph-disc,False,3,"(0, 10)",8,37,0.9754601226993865,1.0
morph-disc,False,3,"(0, 10)",9,5,0.9754601226993865,1.0
morph-disc,False,3,"(10, 100)",2,1,0.9333333333333333,1.0
morph-disc,False,3,"(10, 100)",3,4,0.9333333333333333,1.0
morph-disc,False,3,"(10, 100)",4,25,0.9333333333333333,1.0
morph-disc,False,3,"(10, 100)",5,19,0.9333333333333333,1.0
morph-disc,False,3,"(10, 100)",6,10,0.9333333333333333,1.0
morph-disc,False,3,"(10, 100)",7,1,0.9333333333333333,1.0
morph-disc,False,3,"(100, 1000)",2,11,0.847457627118644,1.0
morph-disc,False,3,"(100, 1000)",3,25,0.847457627118644,1.0
morph-disc,False,3,"(100, 1000)",4,18,0.847457627118644,1.0
morph-disc,False,3,"(100, 1000)",5,5,0.847457627118644,1.0
morph-disc,False,3,"(1000,)",1,50,0.990909090909091,1.0
morph-disc,False,3,"(1000,)",2,38,0.990909090909091,1.0
morph-disc,False,3,"(1000,)",3,21,0.990909090909091,1.0
morph-disc,False,3,"(1000,)",4,1,0.990909090909091,1.0
morph-gen,False,1,"(0, 10)",4,6,0.1656441717791411,0.17791411042944785
morph-gen,False,1,"(0, 10)",5,26,0.1656441717791411,0.17791411042944785
morph-gen,False,1,"(0, 10)",6,40,0.1656441717791411,0.17791411042944785
morph-gen,False,1,"(0, 10)",7,49,0.1656441717791411,0.17791411042944785
morph-gen,False,1,"(0, 10)",8,37,0.1656441717791411,0.17791411042944785
morph-gen,False,1,"(0, 10)",9,5,0.1656441717791411,0.17791411042944785
morph-gen,False,1,"(10, 100)",2,1,0.45,0.5333333333333333
morph-gen,False,1,"(10, 100)",3,4,0.45,0.5333333333333333
morph-gen,False,1,"(10, 100)",4,25,0.45,0.5333333333333333
morph-gen,False,1,"(10, 100)",5,19,0.45,0.5333333333333333
morph-gen,False,1,"(10, 100)",6,10,0.45,0.5333333333333333
morph-gen,False,1,"(10, 100)",7,1,0.45,0.5333333333333333
morph-gen,False,1,"(100, 1000)",2,11,0.559322033898305,0.6101694915254238
morph-gen,False,1,"(100, 1000)",3,25,0.559322033898305,0.6101694915254238
morph-gen,False,1,"(100, 1000)",4,18,0.559322033898305,0.6101694915254238
morph-gen,False,1,"(100, 1000)",5,5,0.559322033898305,0.6101694915254238
morph-gen,False,1,"(1000,)",1,50,0.9090909090909091,0.9090909090909091
morph-gen,False,1,"(1000,)",2,38,0.9090909090909091,0.9090909090909091
morph-gen,False,1,"(1000,)",3,21,0.9090909090909091,0.9090909090909091
morph-gen,False,1,"(1000,)",4,1,0.9090909090909091,0.9090909090909091
morph-gen,False,3,"(0, 10)",4,6,0.2085889570552147,0.2392638036809816
morph-gen,False,3,"(0, 10)",5,26,0.2085889570552147,0.2392638036809816
morph-gen,False,3,"(0, 10)",6,40,0.2085889570552147,0.2392638036809816
morph-gen,False,3,"(0, 10)",7,49,0.2085889570552147,0.2392638036809816
morph-gen,False,3,"(0, 10)",8,37,0.2085889570552147,0.2392638036809816
morph-gen,False,3,"(0, 10)",9,5,0.2085889570552147,0.2392638036809816
morph-gen,False,3,"(10, 100)",2,1,0.48333333333333334,0.55
morph-gen,False,3,"(10, 100)",3,4,0.48333333333333334,0.55
morph-gen,False,3,"(10, 100)",4,25,0.48333333333333334,0.55
morph-gen,False,3,"(10, 100)",5,19,0.48333333333333334,0.55
morph-gen,False,3,"(10, 100)",6,10,0.48333333333333334,0.55
morph-gen,False,3,"(10, 100)",7,1,0.48333333333333334,0.55
morph-gen,False,3,"(100, 1000)",2,11,0.4915254237288136,0.5084745762711864
morph-gen,False,3,"(100, 1000)",3,25,0.4915254237288136,0.5084745762711864
morph-gen,False,3,"(100, 1000)",4,18,0.4915254237288136,0.5084745762711864
morph-gen,False,3,"(100, 1000)",5,5,0.4915254237288136,0.5084745762711864
morph-gen,False,3,"(1000,)",1,50,0.9181818181818182,0.9181818181818182
morph-gen,False,3,"(1000,)",2,38,0.9181818181818182,0.9181818181818182
morph-gen,False,3,"(1000,)",3,21,0.9181818181818182,0.9181818181818182
morph-gen,False,3,"(1000,)",4,1,0.9181818181818182,0.9181818181818182
morph-gen,False,5,"(0, 10)",4,6,0.27607361963190186,0.3006134969325153
morph-gen,False,5,"(0, 10)",5,26,0.27607361963190186,0.3006134969325153
morph-gen,False,5,"(0, 10)",6,40,0.27607361963190186,0.3006134969325153
morph-gen,False,5,"(0, 10)",7,49,0.27607361963190186,0.3006134969325153
morph-gen,False,5,"(0, 10)",8,37,0.27607361963190186,0.3006134969325153
morph-gen,False,5,"(0, 10)",9,5,0.27607361963190186,0.3006134969325153
morph-gen,False,5,"(10, 100)",2,1,0.48333333333333334,0.5666666666666667
morph-gen,False,5,"(10, 100)",3,4,0.48333333333333334,0.5666666666666667
morph-gen,False,5,"(10, 100)",4,25,0.48333333333333334,0.5666666666666667
morph-gen,False,5,"(10, 100)",5,19,0.48333333333333334,0.5666666666666667
morph-gen,False,5,"(10, 100)",6,10,0.48333333333333334,0.5666666666666667
morph-gen,False,5,"(10, 100)",7,1,0.48333333333333334,0.5666666666666667
morph-gen,False,5,"(100, 1000)",2,11,0.5932203389830508,0.6101694915254238
morph-gen,False,5,"(100, 1000)",3,25,0.5932203389830508,0.6101694915254238
morph-gen,False,5,"(100, 1000)",4,18,0.5932203389830508,0.6101694915254238
morph-gen,False,5,"(100, 1000)",5,5,0.5932203389830508,0.6101694915254238
morph-gen,False,5,"(1000,)",1,50,0.9363636363636364,0.9363636363636364
morph-gen,False,5,"(1000,)",2,38,0.9363636363636364,0.9363636363636364
morph-gen,False,5,"(1000,)",3,21,0.9363636363636364,0.9363636363636364
morph-gen,False,5,"(1000,)",4,1,0.9363636363636364,0.9363636363636364
morph-disc,True,1,"(0, 10)",4,6,0.9202453987730062,1.0
morph-disc,True,1,"(0, 10)",5,26,0.9202453987730062,1.0
morph-disc,True,1,"(0, 10)",6,40,0.9202453987730062,1.0
morph-disc,True,1,"(0, 10)",7,49,0.9202453987730062,1.0
morph-disc,True,1,"(0, 10)",8,37,0.9202453987730062,1.0
morph-disc,True,1,"(0, 10)",9,5,0.9202453987730062,1.0
morph-disc,True,1,"(10, 100)",2,1,0.8166666666666667,1.0
morph-disc,True,1,"(10, 100)",3,4,0.8166666666666667,1.0
morph-disc,True,1,"(10, 100)",4,25,0.8166666666666667,1.0
morph-disc,True,1,"(10, 100)",5,19,0.8166666666666667,1.0
morph-disc,True,1,"(10, 100)",6,10,0.8166666666666667,1.0
morph-disc,True,1,"(10, 100)",7,1,0.8166666666666667,1.0
morph-disc,True,1,"(100, 1000)",2,11,0.8135593220338984,1.0
morph-disc,True,1,"(100, 1000)",3,25,0.8135593220338984,1.0
morph-disc,True,1,"(100, 1000)",4,18,0.8135593220338984,1.0
morph-disc,True,1,"(100, 1000)",5,5,0.8135593220338984,1.0
morph-disc,True,1,"(1000,)",1,50,0.9727272727272728,1.0
morph-disc,True,1,"(1000,)",2,38,0.9727272727272728,1.0
morph-disc,True,1,"(1000,)",3,21,0.9727272727272728,1.0
morph-disc,True,1,"(1000,)",4,1,0.9727272727272728,1.0
morph-disc,True,3,"(0, 10)",4,6,0.950920245398773,1.0
morph-disc,True,3,"(0, 10)",5,26,0.950920245398773,1.0
morph-disc,True,3,"(0, 10)",6,40,0.950920245398773,1.0
morph-disc,True,3,"(0, 10)",7,49,0.950920245398773,1.0
morph-disc,True,3,"(0, 10)",8,37,0.950920245398773,1.0
morph-disc,True,3,"(0, 10)",9,5,0.950920245398773,1.0
morph-disc,True,3,"(10, 100)",2,1,0.75,1.0
morph-disc,True,3,"(10, 100)",3,4,0.75,1.0
morph-disc,True,3,"(10, 100)",4,25,0.75,1.0
morph-disc,True,3,"(10, 100)",5,19,0.75,1.0
morph-disc,True,3,"(10, 100)",6,10,0.75,1.0
morph-disc,True,3,"(10, 100)",7,1,0.75,1.0
morph-disc,True,3,"(100, 1000)",2,11,0.711864406779661,1.0
morph-disc,True,3,"(100, 1000)",3,25,0.711864406779661,1.0
morph-disc,True,3,"(100, 1000)",4,18,0.711864406779661,1.0
morph-disc,True,3,"(100, 1000)",5,5,0.711864406779661,1.0
morph-disc,True,3,"(1000,)",1,50,0.9454545454545454,1.0
morph-disc,True,3,"(1000,)",2,38,0.9454545454545454,1.0
morph-disc,True,3,"(1000,)",3,21,0.9454545454545454,1.0
morph-disc,True,3,"(1000,)",4,1,0.9454545454545454,1.0
morph-gen,True,3,"(0, 10)",4,6,0.09202453987730061,0.15337423312883436
morph-gen,True,3,"(0, 10)",5,26,0.09202453987730061,0.15337423312883436
morph-gen,True,3,"(0, 10)",6,40,0.09202453987730061,0.15337423312883436
morph-gen,True,3,"(0, 10)",7,49,0.09202453987730061,0.15337423312883436
morph-gen,True,3,"(0, 10)",8,37,0.09202453987730061,0.15337423312883436
morph-gen,True,3,"(0, 10)",9,5,0.09202453987730061,0.15337423312883436
morph-gen,True,3,"(10, 100)",2,1,0.31666666666666665,0.4166666666666667
morph-gen,True,3,"(10, 100)",3,4,0.31666666666666665,0.4166666666666667
morph-gen,True,3,"(10, 100)",4,25,0.31666666666666665,0.4166666666666667
morph-gen,True,3,"(10, 100)",5,19,0.31666666666666665,0.4166666666666667
morph-gen,True,3,"(10, 100)",6,10,0.31666666666666665,0.4166666666666667
morph-gen,True,3,"(10, 100)",7,1,0.31666666666666665,0.4166666666666667
morph-gen,True,3,"(100, 1000)",2,11,0.4745762711864407,0.5084745762711864
morph-gen,True,3,"(100, 1000)",3,25,0.4745762711864407,0.5084745762711864
morph-gen,True,3,"(100, 1000)",4,18,0.4745762711864407,0.5084745762711864
morph-gen,True,3,"(100, 1000)",5,5,0.4745762711864407,0.5084745762711864
morph-gen,True,3,"(1000,)",1,50,0.9181818181818182,0.9272727272727272
morph-gen,True,3,"(1000,)",2,38,0.9181818181818182,0.9272727272727272
morph-gen,True,3,"(1000,)",3,21,0.9181818181818182,0.9272727272727272
morph-gen,True,3,"(1000,)",4,1,0.9181818181818182,0.9272727272727272
