task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,True,1,"(10, 100)",2,1,0.2,0.26666666666666666
morph-gen,True,1,"(10, 100)",3,4,0.2,0.26666666666666666
morph-gen,True,1,"(10, 100)",4,25,0.2,0.26666666666666666
morph-gen,True,1,"(10, 100)",5,19,0.2,0.26666666666666666
morph-gen,True,1,"(10, 100)",6,10,0.2,0.26666666666666666
morph-gen,True,1,"(10, 100)",7,1,0.2,0.26666666666666666
morph-gen,True,1,"(100, 1000)",2,11,0.4406779661016949,0.5084745762711864
morph-gen,True,1,"(100, 1000)",3,25,0.4406779661016949,0.5084745762711864
morph-gen,True,1,"(100, 1000)",4,18,0.4406779661016949,0.5084745762711864
morph-gen,True,1,"(100, 1000)",5,5,0.4406779661016949,0.5084745762711864
morph-gen,True,1,"(1000,)",1,50,0.8,0.8272727272727273
morph-gen,True,1,"(1000,)",2,38,0.8,0.8272727272727273
morph-gen,True,1,"(1000,)",3,21,0.8,0.8272727272727273
morph-gen,True,1,"(1000,)",4,1,0.8,0.8272727272727273
morph-gen,False,1,"(0, 10)",4,6,0.19631901840490798,0.20245398773006135
morph-gen,False,1,"(0, 10)",5,26,0.19631901840490798,0.20245398773006135
morph-gen,False,1,"(0, 10)",6,40,0.19631901840490798,0.20245398773006135
morph-gen,False,1,"(0, 10)",7,49,0.19631901840490798,0.20245398773006135
morph-gen,False,1,"(0, 10)",8,37,0.19631901840490798,0.20245398773006135
morph-gen,False,1,"(0, 10)",9,5,0.19631901840490798,0.20245398773006135
morph-gen,False,1,"(10, 100)",2,1,0.4,0.4
morph-gen,False,1,"(10, 100)",3,4,0.4,0.4
morph-gen,False,1,"(10, 100)",4,25,0.4,0.4
morph-gen,False,1,"(10, 100)",5,19,0.4,0.4
morph-gen,False,1,"(10, 100)",6,10,0.4,0.4
morph-gen,False,1,"(10, 100)",7,1,0.4,0.4
morph-gen,False,1,"(100, 1000)",2,11,0.6779661016949152,0.6779661016949152
morph-gen,False,1,"(100, 1000)",3,25,0.6779661016949152,0.6779661016949152
morph-gen,False,1,"(100, 1000)",4,18,0.6779661016949152,0.6779661016949152
morph-gen,False,1,"(100, 1000)",5,5,0.6779661016949152,0.6779661016949152
morph-gen,False,1,"(1000,)",1,50,0.8909090909090909,0.8909090909090909
morph-gen,False,1,"(1000,)",2,38,0.8909090909090909,0.8909090909090909
morph-gen,False,1,"(1000,)",3,21,0.8909090909090909,0.8909090909090909
morph-gen,False,1,"(1000,)",4,1,0.8909090909090909,0.8909090909090909
morph-disc,False,3,"(0, 10)",4,6,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",5,26,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",6,40,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",7,49,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",8,37,0.9877300613496932,1.0
morph-disc,False,3,"(0, 10)",9,5,0.9877300613496932,1.0
morph-disc,False,3,"(10, 100)",2,1,0.9152542372881356,1.0
morph-disc,False,3,"(10, 100)",3,4,0.9152542372881356,1.0
morph-disc,False,3,"(10, 100)",4,25,0.9152542372881356,1.0
morph-disc,False,3,"(10, 100)",5,18,0.9152542372881356,1.0
morph-disc,False,3,"(10, 100)",6,10,0.9152542372881356,1.0
