task,is_ood,num_shots,freq_bin,num_suffixes,num_samples,accuracy,faithfulness
morph-gen,False,3,"(100, 1000)",3,2,0.9285714285714286,0.9285714285714286
morph-gen,False,3,"(1000,)",1,9,0.9285714285714286,0.9285714285714286
morph-gen,False,3,"(1000,)",2,5,0.9285714285714286,0.9285714285714286
morph-gen,False,5,"(0, 10)",1,9,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",2,17,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",3,35,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",4,43,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",5,49,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",6,50,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",7,50,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",8,37,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(0, 10)",9,5,0.4067796610169492,0.43389830508474575
morph-gen,False,5,"(10, 100)",1,17,0.8,0.8
morph-gen,False,5,"(10, 100)",2,17,0.8,0.8
morph-gen,False,5,"(10, 100)",3,13,0.8,0.8
morph-gen,False,5,"(10, 100)",4,7,0.8,0.8
morph-gen,False,5,"(10, 100)",5,1,0.8,0.8
morph-gen,False,5,"(100, 1000)",1,15,0.9285714285714286,0.9285714285714286
morph-gen,False,5,"(100, 1000)",2,11,0.9285714285714286,0.9285714285714286
morph-gen,False,5,"(100, 1000)",3,2,0.9285714285714286,0.9285714285714286
morph-gen,False,5,"(1000,)",1,9,0.9285714285714286,0.9285714285714286
morph-gen,False,5,"(1000,)",2,5,0.9285714285714286,0.9285714285714286
morph-disc,False,3,"(0, 10)",1,9,0.9796610169491525,1.0
morph-disc,False,3,"(0, 10)",2,17,0.9796610169491525,1.0
morph-disc,False,3,"(0, 10)",3,35,0.9796610169491525,1.0
morph-disc,False,3,"(0, 10)",4,43,0.9796610169491525,1.0
morph-disc,False,3,"(0, 10)",5,49,0.9796610169491525,1.0
morph-disc,False,3,"(0, 10)",6,50,0.9796610169491525,1.0
