language,template,model,task,is_ood,num_shots,num_affixes,accuracy,faithfulness,f1,coherence
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,6,0.25333333333333335,0.26666666666666666,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,5,7,0.2348993288590604,0.2348993288590604,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,1,0.9633333333333334,0.0,0.9511111111111111,0.9266666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,2,0.9464882943143813,0.0,0.9311111111111111,0.9
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,3,0.9476510067114094,0.0,0.9231481481481482,0.7733333333333333
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,4,0.9626666666666667,0.0,0.9238095238095239,0.8133333333333334
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,5,0.9493333333333334,0.0,0.9341269841269841,0.76
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,6,0.9306666666666666,0.0,0.9029100529100529,0.6933333333333334
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,3,7,0.9409395973154362,0.0,0.921433897943965,0.7449664429530202
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,1,0.98,0.98,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,2,0.8333333333333334,0.84,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,3,0.7866666666666666,0.7933333333333333,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,4,0.5133333333333333,0.5666666666666667,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,5,0.41333333333333333,0.46,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,6,0.28,0.29333333333333333,0,0
tr,morph_gen_en,gpt-4o-2024-08-06,morph-gen,False,3,7,0.2348993288590604,0.24161073825503357,0,0
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,1,0.75,0.0,0.6755555555555556,0.5266666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,2,0.8160535117056856,0.0,0.7577777777777778,0.64
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,3,0.8899328859060402,0.0,0.8628306878306878,0.56
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,4,0.86,0.0,0.7958359788359788,0.48
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,5,0.836,0.0,0.8048703703703703,0.44
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,6,0.824,0.0,0.7939285714285714,0.4266666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,5,7,0.8550335570469799,0.0,0.8356477042718653,0.5100671140939598
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,1,0.77,0.0,0.7044444444444444,0.5733333333333334
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,2,0.7993311036789298,0.0,0.7444444444444445,0.64
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,3,0.8885906040268456,0.0,0.8043862433862433,0.5266666666666666
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,4,0.8893333333333333,0.0,0.7702407407407408,0.5066666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,5,0.8826666666666667,0.0,0.7827724867724868,0.52
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,6,0.868,0.0,0.7486481481481482,0.4866666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,True,1,7,0.8751677852348994,0.0,0.7686960690316395,0.4899328859060403
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,1,0.9533333333333334,0.0,0.94,0.9133333333333333
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,2,0.9464882943143813,0.0,0.9311111111111111,0.9
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,3,0.9489932885906041,0.0,0.9252645502645502,0.7533333333333333
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,4,0.964,0.0,0.9421296296296297,0.84
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,5,0.9306666666666666,0.0,0.9175608465608466,0.7266666666666667
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,6,0.912,0.0,0.8831031746031746,0.64
tr,morph_disc_en,gpt-4o-2024-08-06,morph-disc,False,5,7,0.9328859060402684,0.0,0.9207680835197614,0.7114093959731543
